LABNR,C14AGE,C14STD,C13,METHOD,MATERIAL,COUNTRY,SITE,FEATURE,FEATURE_DESC,DEPTH,LAT,LONG,PHASE,LITHICS,POTTERY,IRON,FRUIT,ZOO,CLASS,REMARK,SOURCE
RICH-30864,1850,24,-26.6,AMS,Foodcrust,COG,Pikunda,PIK 87/1,,,0.55,16.636,,,Pikunda-Munda,,,,Ia,,unpublished (Seidensticker)
RICH-30865,192,22,-26.2,AMS,Foodcrust,COG,Munda,,,,1.163,17.357,,,Ebambe,,,,Ia,,unpublished (Seidensticker)
RICH-30866,328,22,-26.1,AMS,Foodcrust,COG,Munda,,,,1.163,17.357,,,Ebambe,,,,Ia,,unpublished (Seidensticker)
RICH-30867,841,24,-25.7,AMS,Foodcrust,COG,Ngombe,,,,0.37,16.99,,,Ngombe,,,,Ia,,unpublished (Seidensticker)
